filename,wsi_path,error,timestamp,worker_id,start_time,end_time,processing_time
anon_227c0bd6-eb43-47a2-b64f-367fc50a3c3a.svs,/vol/biomedic3/histopatho/win_share/2022-04-06/anon_227c0bd6-eb43-47a2-b64f-367fc50a3c3a.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-04-06/anon_227c0bd6-eb43-47a2-b64f-367fc50a3c3a.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-04-06/anon_227c0bd6-eb43-47a2-b64f-367fc50a3c3a.svs"" does not exist
",2025-09-15T18:09:13.548455,ForkPoolWorker-2,2025-09-15T18:09:13.525970,2025-09-15T18:09:13.548455,0.02248379308730364
anon_891ab781-140b-4b60-b0ef-a05704580a7e.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_891ab781-140b-4b60-b0ef-a05704580a7e.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_891ab781-140b-4b60-b0ef-a05704580a7e.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_891ab781-140b-4b60-b0ef-a05704580a7e.svs"" does not exist
",2025-09-15T18:09:13.548806,ForkPoolWorker-2,2025-09-15T18:09:13.548667,2025-09-15T18:09:13.548806,0.00013962294906377792
anon_1b674f93-1659-4338-97f6-07fc0d724f17.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_1b674f93-1659-4338-97f6-07fc0d724f17.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_1b674f93-1659-4338-97f6-07fc0d724f17.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_1b674f93-1659-4338-97f6-07fc0d724f17.svs"" does not exist
",2025-09-15T18:09:13.549067,ForkPoolWorker-2,2025-09-15T18:09:13.548964,2025-09-15T18:09:13.549067,0.00010375306010246277
anon_15546c16-119a-4a46-91f3-e1e8e07b0004.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_15546c16-119a-4a46-91f3-e1e8e07b0004.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_15546c16-119a-4a46-91f3-e1e8e07b0004.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_15546c16-119a-4a46-91f3-e1e8e07b0004.svs"" does not exist
",2025-09-15T18:28:21.857097,ForkPoolWorker-1,2025-09-15T18:28:21.856905,2025-09-15T18:28:21.857097,0.00019237701781094074
anon_5c1f7878-345d-4b1e-895d-f32d1a695459.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_5c1f7878-345d-4b1e-895d-f32d1a695459.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_5c1f7878-345d-4b1e-895d-f32d1a695459.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_5c1f7878-345d-4b1e-895d-f32d1a695459.svs"" does not exist
",2025-09-15T18:48:36.350091,ForkPoolWorker-2,2025-09-15T18:48:36.349856,2025-09-15T18:48:36.350091,0.0002348390407860279
anon_a53eb785-32f8-4a2b-a01b-006dbb3c3fe7.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_a53eb785-32f8-4a2b-a01b-006dbb3c3fe7.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_a53eb785-32f8-4a2b-a01b-006dbb3c3fe7.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_a53eb785-32f8-4a2b-a01b-006dbb3c3fe7.svs"" does not exist
",2025-09-15T18:48:36.350243,ForkPoolWorker-2,2025-09-15T18:48:36.350186,2025-09-15T18:48:36.350243,5.7484954595565796e-05
anon_c6b6468d-b561-425e-ad9d-b11e17e5301e.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_c6b6468d-b561-425e-ad9d-b11e17e5301e.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_c6b6468d-b561-425e-ad9d-b11e17e5301e.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_c6b6468d-b561-425e-ad9d-b11e17e5301e.svs"" does not exist
",2025-09-15T18:48:36.350351,ForkPoolWorker-2,2025-09-15T18:48:36.350305,2025-09-15T18:48:36.350351,4.615704528987408e-05
anon_09462cdb-1a3e-4dec-9698-6170bb8ecc1b.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_09462cdb-1a3e-4dec-9698-6170bb8ecc1b.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_09462cdb-1a3e-4dec-9698-6170bb8ecc1b.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_09462cdb-1a3e-4dec-9698-6170bb8ecc1b.svs"" does not exist
",2025-09-15T18:48:36.350450,ForkPoolWorker-2,2025-09-15T18:48:36.350408,2025-09-15T18:48:36.350450,4.187994636595249e-05
anon_e153751b-4bb2-4e61-9ac6-0145010c4b81.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_e153751b-4bb2-4e61-9ac6-0145010c4b81.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_e153751b-4bb2-4e61-9ac6-0145010c4b81.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_e153751b-4bb2-4e61-9ac6-0145010c4b81.svs"" does not exist
",2025-09-15T18:48:36.350546,ForkPoolWorker-2,2025-09-15T18:48:36.350502,2025-09-15T18:48:36.350546,4.4454121962189674e-05
anon_34576336-4f4f-4db6-a32b-cf44e813560a.svs,/vol/biomedic3/histopatho/win_share/2024-07-10/anon_34576336-4f4f-4db6-a32b-cf44e813560a.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2024-07-10/anon_34576336-4f4f-4db6-a32b-cf44e813560a.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2024-07-10/anon_34576336-4f4f-4db6-a32b-cf44e813560a.svs"" does not exist
",2025-09-15T18:48:36.350643,ForkPoolWorker-2,2025-09-15T18:48:36.350603,2025-09-15T18:48:36.350643,3.9594946429133415e-05
anon_0b909873-9ef8-4230-86d5-ce7b478be4cb.svs,/vol/biomedic3/histopatho/win_share/2022-05-23/anon_0b909873-9ef8-4230-86d5-ce7b478be4cb.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-05-23/anon_0b909873-9ef8-4230-86d5-ce7b478be4cb.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-05-23/anon_0b909873-9ef8-4230-86d5-ce7b478be4cb.svs"" does not exist
",2025-09-15T19:45:34.638271,ForkPoolWorker-1,2025-09-15T19:45:34.617445,2025-09-15T19:45:34.638271,0.02082362794317305
anon_494d43f4-e599-43d5-8d80-7ecddd6d4612.svs,/vol/biomedic3/histopatho/win_share/2022-05-23/anon_494d43f4-e599-43d5-8d80-7ecddd6d4612.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-05-23/anon_494d43f4-e599-43d5-8d80-7ecddd6d4612.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-05-23/anon_494d43f4-e599-43d5-8d80-7ecddd6d4612.svs"" does not exist
",2025-09-15T19:45:34.638872,ForkPoolWorker-1,2025-09-15T19:45:34.638637,2025-09-15T19:45:34.638872,0.00023541809059679508
anon_6722dfc9-0ac7-4f11-85f1-cc73acb3ca49.svs,/vol/biomedic3/histopatho/win_share/2022-07-27/anon_6722dfc9-0ac7-4f11-85f1-cc73acb3ca49.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-07-27/anon_6722dfc9-0ac7-4f11-85f1-cc73acb3ca49.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-07-27/anon_6722dfc9-0ac7-4f11-85f1-cc73acb3ca49.svs"" does not exist
",2025-09-15T21:32:19.691206,ForkPoolWorker-2,2025-09-15T21:32:19.675384,2025-09-15T21:32:19.691206,0.01581992208957672
anon_068fcd62-61d9-43ea-8936-87bf901f362b.svs,/vol/biomedic3/histopatho/win_share/2022-07-26/anon_068fcd62-61d9-43ea-8936-87bf901f362b.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-07-26/anon_068fcd62-61d9-43ea-8936-87bf901f362b.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-07-26/anon_068fcd62-61d9-43ea-8936-87bf901f362b.svs"" does not exist
",2025-09-15T21:32:19.693177,ForkPoolWorker-2,2025-09-15T21:32:19.691545,2025-09-15T21:32:19.693177,0.0016312580555677414
anon_17cc5999-8b5d-436b-865e-6822de98f09f.svs,/vol/biomedic3/histopatho/win_share/2022-07-27/anon_17cc5999-8b5d-436b-865e-6822de98f09f.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-07-27/anon_17cc5999-8b5d-436b-865e-6822de98f09f.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-07-27/anon_17cc5999-8b5d-436b-865e-6822de98f09f.svs"" does not exist
",2025-09-15T21:32:19.693673,ForkPoolWorker-2,2025-09-15T21:32:19.693474,2025-09-15T21:32:19.693673,0.00019931094720959663
anon_36594106-3aff-4eee-a8e9-7ff9cd6785e4.svs,/vol/biomedic3/histopatho/win_share/2022-07-28/anon_36594106-3aff-4eee-a8e9-7ff9cd6785e4.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-07-28/anon_36594106-3aff-4eee-a8e9-7ff9cd6785e4.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-07-28/anon_36594106-3aff-4eee-a8e9-7ff9cd6785e4.svs"" does not exist
",2025-09-15T21:32:19.696385,ForkPoolWorker-2,2025-09-15T21:32:19.693904,2025-09-15T21:32:19.696385,0.00247833295725286
anon_31534bc9-4e57-45f3-8582-425c1a5252c7.svs,/vol/biomedic3/histopatho/win_share/2022-07-28/anon_31534bc9-4e57-45f3-8582-425c1a5252c7.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-07-28/anon_31534bc9-4e57-45f3-8582-425c1a5252c7.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-07-28/anon_31534bc9-4e57-45f3-8582-425c1a5252c7.svs"" does not exist
",2025-09-15T21:32:19.696889,ForkPoolWorker-2,2025-09-15T21:32:19.696673,2025-09-15T21:32:19.696889,0.00021593808196485043
anon_7d5a161d-3f40-4315-b293-bec114556514.svs,/vol/biomedic3/histopatho/win_share/2022-07-29/anon_7d5a161d-3f40-4315-b293-bec114556514.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2022-07-29/anon_7d5a161d-3f40-4315-b293-bec114556514.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2022-07-29/anon_7d5a161d-3f40-4315-b293-bec114556514.svs"" does not exist
",2025-09-15T21:34:02.805333,ForkPoolWorker-1,2025-09-15T21:34:02.783796,2025-09-15T21:34:02.805333,0.021534936036914587
anon_b9ed5d14-e6b3-4577-b699-866b846799e8.svs,/vol/biomedic3/histopatho/win_share/2023-05-29/anon_b9ed5d14-e6b3-4577-b699-866b846799e8.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-05-29/anon_b9ed5d14-e6b3-4577-b699-866b846799e8.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-05-29/anon_b9ed5d14-e6b3-4577-b699-866b846799e8.svs"" does not exist
",2025-09-16T03:13:58.365832,ForkPoolWorker-2,2025-09-16T03:13:58.342860,2025-09-16T03:13:58.365832,0.022968576988205314
anon_42ce3a56-25ff-40f4-aad7-7e6aefd74683.svs,/vol/biomedic3/histopatho/win_share/2023-05-29/anon_42ce3a56-25ff-40f4-aad7-7e6aefd74683.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-05-29/anon_42ce3a56-25ff-40f4-aad7-7e6aefd74683.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-05-29/anon_42ce3a56-25ff-40f4-aad7-7e6aefd74683.svs"" does not exist
",2025-09-16T03:30:47.174215,ForkPoolWorker-2,2025-09-16T03:30:47.173833,2025-09-16T03:30:47.174215,0.00038231397047638893
anon_6afa838f-d418-4982-96ed-b59c8c58ca4c.svs,/vol/biomedic3/histopatho/win_share/2023-05-29/anon_6afa838f-d418-4982-96ed-b59c8c58ca4c.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-05-29/anon_6afa838f-d418-4982-96ed-b59c8c58ca4c.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-05-29/anon_6afa838f-d418-4982-96ed-b59c8c58ca4c.svs"" does not exist
",2025-09-16T03:30:47.174393,ForkPoolWorker-2,2025-09-16T03:30:47.174321,2025-09-16T03:30:47.174393,7.19618983566761e-05
anon_024a6913-4084-4d6d-92b2-a5509dcc190f.svs,/vol/biomedic3/histopatho/win_share/2023-08-14/anon_024a6913-4084-4d6d-92b2-a5509dcc190f.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-08-14/anon_024a6913-4084-4d6d-92b2-a5509dcc190f.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-08-14/anon_024a6913-4084-4d6d-92b2-a5509dcc190f.svs"" does not exist
",2025-09-16T03:30:47.178671,ForkPoolWorker-2,2025-09-16T03:30:47.174462,2025-09-16T03:30:47.178671,0.004207156831398606
anon_1a755970-a790-4080-b8e6-1d8f184cb266.svs,/vol/biomedic3/histopatho/win_share/2023-03-30/anon_1a755970-a790-4080-b8e6-1d8f184cb266.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-03-30/anon_1a755970-a790-4080-b8e6-1d8f184cb266.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-03-30/anon_1a755970-a790-4080-b8e6-1d8f184cb266.svs"" does not exist
",2025-09-16T03:30:47.225730,ForkPoolWorker-2,2025-09-16T03:30:47.178836,2025-09-16T03:30:47.225730,0.046890928875654936
anon_ea21c99b-c118-4b21-ae75-e8b29a9169e3.svs,/vol/biomedic3/histopatho/win_share/2023-04-14/anon_ea21c99b-c118-4b21-ae75-e8b29a9169e3.svs,"unable to load from file b'/vol/biomedic3/histopatho/win_share/2023-04-14/anon_ea21c99b-c118-4b21-ae75-e8b29a9169e3.svs'
  VipsForeignLoad: file ""/vol/biomedic3/histopatho/win_share/2023-04-14/anon_ea21c99b-c118-4b21-ae75-e8b29a9169e3.svs"" does not exist
",2025-09-16T03:30:47.228016,ForkPoolWorker-2,2025-09-16T03:30:47.226489,2025-09-16T03:30:47.228016,0.0015271161682903767
