filename,worker_id,start_time,end_time,processing_time,num_patches,status
anon_06535ae1-326b-4bc0-97bc-41734207b0e3.svs,ForkPoolWorker-1,2025-09-15T16:49:02.597396,2025-09-15T16:57:58.601148,536.0037853259128,409,success
anon_0a92e560-0915-427e-b188-a437f81123d4.svs,ForkPoolWorker-2,2025-09-15T16:49:02.597638,2025-09-15T17:12:08.114419,1385.5168155110441,488,success
anon_20fd8210-0a31-4680-897e-a30645bf1ef4.svs,ForkPoolWorker-1,2025-09-15T16:57:58.601559,2025-09-15T17:14:20.457321,981.8557544040959,4650,success
anon_7269e0c4-5aaa-4ed4-a1bf-48dea03a91f5.svs,ForkPoolWorker-1,2025-09-15T17:14:20.457643,2025-09-15T17:20:21.457618,360.99996789800934,9,success
anon_0a03843b-9eb4-445e-9bb1-b8af91c1b144.svs,ForkPoolWorker-2,2025-09-15T17:12:08.114918,2025-09-15T17:31:13.636089,1145.5211621979252,434,success
anon_2fd0916b-3f28-4ffc-94b4-3968fbbb810a.svs,ForkPoolWorker-1,2025-09-15T17:20:21.457963,2025-09-15T17:33:48.399614,806.9416443959344,557,success
anon_2f159f92-d454-4034-8cda-e4e6c480bdf9.svs,ForkPoolWorker-1,2025-09-15T17:33:48.399953,2025-09-15T17:33:48.427427,0.027472351910546422,0,error
anon_3887010c-c7d6-453e-a8a1-631e503d748d.svs,ForkPoolWorker-1,2025-09-15T17:33:48.427629,2025-09-15T17:33:48.427702,7.33700580894947e-05,0,error
anon_558e1530-b2bf-4566-9baa-108ea6699ff5.svs,ForkPoolWorker-2,2025-09-15T17:31:13.636453,2025-09-15T17:44:22.430837,788.794374322053,450,success
anon_1813bea4-d116-4fd9-9a48-44b3f2a89360.svs,ForkPoolWorker-2,2025-09-15T17:44:22.431151,2025-09-15T17:44:22.431333,0.00018209591507911682,0,error
anon_aba71cf5-ce8c-44c5-bae8-95253ab4b16d.svs,ForkPoolWorker-2,2025-09-15T17:44:22.431421,2025-09-15T17:45:42.862617,80.43119449890219,33,success
anon_0d240a26-a376-41a2-bf75-c30c5ecb8f82.svs,ForkPoolWorker-1,2025-09-15T17:33:48.427779,2025-09-15T17:49:29.598639,941.1708524229471,373,success
anon_0fea4be7-b5a3-4a47-841c-6476bd30017a.svs,ForkPoolWorker-2,2025-09-15T17:45:42.862818,2025-09-15T17:56:18.413723,635.550896370085,185,success
anon_044e6863-5141-447c-9809-0812fb2b6458.svs,ForkPoolWorker-1,2025-09-15T17:49:29.598970,2025-09-15T17:58:28.267147,538.6681689610705,118,success
anon_21d6d1cd-5966-4829-8c77-75da7b836b4f.svs,ForkPoolWorker-2,2025-09-15T17:56:18.414056,2025-09-15T18:09:13.509889,775.0958237061277,47,success
anon_5501d2f4-660b-4102-aece-5eed43e79d74.svs,ForkPoolWorker-2,2025-09-15T18:09:13.510233,2025-09-15T18:09:13.525093,0.014858972048386931,0,error
anon_1f659897-5485-4747-88a3-e78d3777df5c.svs,ForkPoolWorker-2,2025-09-15T18:09:13.525216,2025-09-15T18:09:13.525292,7.629184983670712e-05,0,error
anon_146e84ef-5a85-4976-9ec7-40dd7f4c28cb.svs,ForkPoolWorker-2,2025-09-15T18:09:13.525369,2025-09-15T18:09:13.525424,5.5385055020451546e-05,0,error
anon_0a71f3fc-78ea-4779-a740-c5212ae14e31.svs,ForkPoolWorker-2,2025-09-15T18:09:13.525493,2025-09-15T18:09:13.525543,4.943902604281902e-05,0,error
anon_303c0ee5-3ba3-4c41-9943-54bafddd8b48.svs,ForkPoolWorker-2,2025-09-15T18:09:13.525611,2025-09-15T18:09:13.525659,4.843715578317642e-05,0,error
